Clocks Per Second: 1000000
Vector Size, Original, Swapped Loops, Small Bitwidth, Partial Init, Thread Row/Col, Thread Row/Col Interleave, Limit Warping, Memoization, Early Abandon, Pruned, 
2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
4, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 
8, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 
16, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 
32, 1, 1, 1, 1, 6, 3, 1, 1, 1, 1, 
64, 1, 1, 3, 1, 40, 17, 1, 1, 1, 1, 
128, 1, 1, 1, 1, 251, 289, 1, 1, 1, 1, 
256, 1, 3, 1, 1, 13741, 14142, 1, 1, 3, 1, 
512, 6, 6, 6, 3, 30876, 30514, 6, 6, 6, 3, 
1024, 1699, 251, 1585, 631, 67595, 67735, 251, 251, 1585, 251, 
2048, 38616, 31037, 31777, 36693, 164924, 165870, 31037, 22587, 41289, 30673, 
4096, 150837, 126840, 138824, 143770, 441773, 448946, 129846, 92890, 160847, 124900, 
8192, 595980, 506979, 522961, 559911, 1.3618e+06, 1.37087e+06, 499980, 374886, 638842, 507905, 
16384, 2.37087e+06, 2.11197e+06, 2.14626e+06, 2.2149e+06, 4.74628e+06, 4.57259e+06, 2.01076e+06, 1.45286e+06, 2.56488e+06, 2.04629e+06, 
