Vector Size, Original, Swapped Loops, Small Bitwidth, Partial Init, Row/Col Interleave, 1&2&3,
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
4, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
8, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
16, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
32, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
64, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
128, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,
256, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000,
512, 5.000000, 5.000000, 5.000000, 5.000000, 7.000000, 5.000000,
1024, 22.000000, 23.000000, 21.000000, 20.000000, 29.000000, 19.000000,
2048, 88.000000, 101.000000, 86.000000, 81.000000, 124.000000, 85.000000,
4096, 353.000000, 451.000000, 342.000000, 324.000000, 538.000000, 385.000000,
8192, 1411.000000, 1847.000000, 1372.000000, 1277.000000, 2336.000000, 1576.000000,
16384, 5628.000000, 7636.000000, 5462.000000, 5018.000000, 10101.000000, 6932.000000,
